"","alicia","bat1","bat2","bat3","bat4","bat5","bat6","bat7","bella","betty","black-panther","c","captain-america","cat","cc","ccc","ccs","cd","cerce","cerceson","cindy","cs","csc","d","daredevil","dcd","dd","ddld","dr","ds","esther","eve","falcon","flapper","fran","gayle","gremlin","hera","hilga","houdini","hulk","irma","ivy","jenna-bat","jupiter","kelly","ldc","lds","lily","lilyson","lsd","lucy","lucyson","mabel","marce","mina","no-band","ola","opal","piper","queen","r","rc","rina","s","sam1","sam5","sam6","sam7","sc","scc","scs","sd","shania","sheldon","six","snow","son-of-ola","sonofzaria","speedster","spiderman","ss","sss","streblick","thecount","tiffany","vampirella","vampison","veronica","vixen","vlad","war-machine","winona","zaria","zelda"
"alicia",0,2,8,9,8,47,9,0,0,164,0,1,0,11,0,4,0,0,0,24,215,0,0,0,0,0,10,132,0,17,0,0,0,4,0,104,0,40,4,5,1,0,8,1,0,9,2,112,0,0,0,0,3,1,27,0,0,1,10,280,155,26,0,0,9,2,0,3,0,0,0,12,3,71,0,1,5,66,0,2,0,0,28,2,0,2,0,8,0,0,0,0,14,0,91
"bat1",0,135,5,4,3,0,0,4,0,6,0,0,0,0,0,0,0,0,0,2,20,0,1,0,0,0,4,19,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,2,7,0,0,0,0,5,0,1,0,0,0,0,9,7,1,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,1,0,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
"bat2",0,43,1403,10,3,8,1,2,0,1319,9,0,0,2,0,1,0,0,0,0,208,0,0,0,0,0,13,452,0,1,0,0,0,5,0,0,0,5,2,0,4,0,1,0,0,12,0,110,0,0,0,0,141,6,216,0,0,11,8,252,93,1,0,0,150,0,0,0,0,0,0,313,5,15,0,2,2,283,0,42,0,0,87,30,0,1,0,21,0,0,1,0,0,0,6
"bat3",0,78,18,1117,207,6,30,3,0,146,30,1,0,2,0,1,0,0,5,404,124,0,0,2,1,0,25,288,0,29,1,0,0,1,1,3,1,2,9,168,4,0,31,2,2,11,1,45,0,0,0,0,227,0,168,0,0,1,0,57,39,10,3,0,156,0,0,0,0,0,0,27,2,18,0,1,8,489,0,1,0,0,7,28,0,0,0,41,0,4,7,5,0,1,4
"bat4",0,237,13,219,1542,74,12,169,0,95,3,28,0,3,0,9,0,0,0,5,99,1,1,2,3,3,194,1080,0,3,0,0,0,10,0,100,0,7,48,121,13,0,48,12,0,15,2,208,0,0,0,4,350,0,130,1,0,12,0,998,91,33,14,0,358,1,0,2,0,0,0,18,29,102,0,7,16,647,0,1,0,1,11,76,0,0,0,18,0,0,4,21,3,0,12
"bat5",0,124,99,15,207,887,0,96,2,868,3,19,0,149,2,5,1,0,0,5,140,2,0,3,3,3,401,1700,2,0,0,0,0,98,4,345,0,166,123,9,11,0,534,1,0,80,3,619,0,0,0,27,56,1,55,0,0,61,68,3013,125,134,3,3,233,50,0,15,0,0,0,229,11,339,2,11,32,451,0,68,0,0,174,28,4,1,0,215,0,0,0,7,2,3,39
"bat6",0,3,6,152,53,18,169,1,0,151,15,5,0,5,0,4,0,0,0,260,101,1,0,3,0,0,8,176,0,18,0,0,0,1,0,51,0,20,12,9,2,0,5,7,6,1,1,139,0,0,0,0,2,0,18,0,0,6,2,102,39,34,5,0,56,4,0,0,0,0,0,70,7,33,0,0,1,184,0,3,0,0,4,1,0,2,0,6,0,1,0,0,2,0,36
"bat7",2,70,57,20,39,96,9,1302,0,237,1,44,0,43,0,3,0,0,0,11,284,0,0,3,0,3,48,757,0,20,0,0,0,19,0,267,0,10,65,9,3,0,56,1,0,4,1,46,1,0,0,0,183,0,48,2,0,55,0,801,158,42,0,1,210,15,0,0,0,0,0,141,9,15,0,5,28,258,0,4,0,0,57,37,0,0,0,122,0,2,0,1,4,0,1
"bella",0,5,20,3,13,14,0,1,3,107,4,2,0,2,0,4,0,0,0,9,61,0,0,0,0,0,20,282,0,2,0,0,0,42,0,3,0,2,6,6,0,0,2,0,4,25,0,34,1,0,0,1,15,0,29,0,0,0,1,100,281,1,0,1,14,0,0,0,0,0,0,13,6,87,0,1,0,62,0,18,0,1,4,30,0,4,0,14,0,0,0,0,5,0,1
"betty",0,257,241,16,28,734,17,47,0,72319,166,3,3,149,150,45,1,2,0,163,4787,0,1,106,10,3,897,3174,2,134,0,0,0,18,4,212,0,332,107,16,87,0,139,7,234,44,195,2995,0,11,0,0,302,483,373,3,3,557,187,782,1624,87,4,1,719,204,0,103,0,0,0,2319,52,238,1,5,51,840,0,8,0,202,695,19,0,9,2,287,2,33,0,14,4,0,92
"black-panther",0,6,20,103,50,13,10,0,0,1069,412,0,0,3,7,2,0,0,1,4,84,0,0,8,1,0,110,341,0,13,0,0,0,1,0,0,0,12,2,33,4,0,0,4,0,1,5,31,0,0,0,2,73,1,284,0,0,1,3,109,39,9,4,0,198,0,0,0,0,0,0,71,9,29,0,0,1,241,0,0,0,0,33,5,1,0,0,29,0,0,0,1,0,0,35
"c",0,83,6,7,180,20,1,22,0,221,2,161,0,0,0,2,0,0,0,0,474,4,0,9,1,1,345,113,0,9,0,0,0,0,2,491,0,14,24,36,15,0,4,5,0,6,34,123,0,0,0,0,91,1,12,0,0,4,0,628,91,866,26,1,216,0,0,0,0,0,0,5,113,73,0,0,6,43,0,0,0,0,11,28,3,0,0,2,0,1,2,9,28,0,9
"captain-america",0,21,2,3,3,0,2,10,0,208,5,0,4,0,2,1,0,0,0,6,124,0,0,0,0,0,9,39,0,5,0,0,0,0,0,0,1,1,2,5,3,0,0,0,0,0,0,0,0,1,0,0,43,2,18,1,0,0,0,4,22,3,0,0,58,0,0,0,0,0,0,3,0,1,0,0,1,19,0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,0,5
"cat",0,11,11,8,11,211,35,30,0,963,1,1,0,217,0,15,0,0,0,421,66,0,0,2,0,0,188,1646,1,26,0,0,0,35,0,24,0,353,47,1,4,0,20,1,3,8,5,466,0,0,0,0,18,2,17,3,0,87,32,419,82,7,1,0,38,8,0,9,0,0,0,105,95,136,0,3,28,300,0,35,0,5,68,13,0,1,0,136,0,0,0,5,0,0,43
"cc",0,4,1,9,0,5,3,0,0,1281,85,0,1,0,65,36,0,0,0,8,19,0,0,5,1,0,16,263,0,3,0,0,0,1,0,0,0,226,0,1,6,0,0,0,5,0,0,22,0,0,0,0,74,2,189,2,0,1,15,4,10,0,0,0,18,0,0,0,0,0,0,86,32,39,0,0,0,129,0,0,0,0,16,2,1,0,0,39,0,0,0,1,0,0,8
"ccc",0,4,31,6,2,1,0,3,0,502,3,1,0,3,6,428,0,0,0,2,58,0,0,0,0,0,36,331,0,8,0,0,0,2,0,1,0,179,2,4,0,0,0,0,0,0,3,257,0,2,0,0,26,1,61,10,0,90,1,3,6,14,0,0,88,0,0,0,0,0,0,6,83,4,0,26,1,227,0,1,0,0,7,5,0,0,0,15,0,0,0,0,1,0,0
"ccs",0,7,65,10,13,35,3,8,0,2040,60,5,0,15,2,20,3,0,0,0,152,0,0,6,1,0,109,730,2,4,1,0,0,2,2,17,0,60,34,10,2,0,5,0,5,1,18,205,0,1,0,0,66,5,54,2,0,27,5,155,21,68,0,0,926,4,0,3,0,0,0,208,37,15,0,3,6,359,0,0,0,0,73,2,2,0,0,100,0,1,0,0,0,0,18
"cd",0,4,1,1,0,1,6,0,0,24,3,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0,2,3,0,3,0,0,0,0,0,1,0,13,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,2,0,1,0,0,0,0,5,0,0,0,0,0,0,10,2,0,0,0,0,25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
