"ss","n.bats"
1,114
2,113
3,111
4,110
5,110
6,110
7,110
8,110
9,108
10,108
11,108
12,108
13,105
14,105
15,105
16,105
17,105
18,105
19,104
20,104
21,104
22,103
23,103
24,103
25,103
26,102
27,102
28,102
29,102
30,102
31,102
32,102
33,102
34,102
35,101
36,100
37,100
38,99
39,99
40,99
41,99
42,99
43,98
44,98
45,98
46,97
47,97
48,97
49,97
50,97
51,97
52,97
53,97
54,97
55,97
56,97
57,97
58,97
59,97
60,97
61,97
62,97
63,97
64,97
65,97
66,97
67,97
68,97
69,97
70,97
71,96
72,96
73,95
74,95
75,95
76,95
77,95
78,95
79,95
80,95
81,95
82,95
83,95
84,95
85,95
86,95
87,95
88,95
89,95
90,95
91,95
92,95
93,95
94,95
95,95
96,95
97,95
98,95
99,95
100,95
101,95
102,95
103,95
104,95
105,95
106,95
107,95
108,95
109,95
110,95
111,95
112,95
113,95
114,95
115,95
116,95
117,95
118,95
119,94
120,94
121,94
122,94
123,94
124,94
125,93
126,93
127,93
128,93
129,93
130,93
131,93
132,93
133,93
134,93
135,93
136,93
137,93
138,93
139,93
140,93
141,93
142,93
143,93
144,93
145,93
146,93
147,93
148,93
149,93
150,93
151,93
152,93
153,93
154,93
155,93
156,93
157,93
158,93
159,93
160,93
161,93
162,93
163,93
164,93
165,93
166,93
167,93
168,93
169,93
170,93
171,93
172,93
173,93
174,93
175,93
176,93
177,93
178,93
179,93
180,93
181,93
182,92
183,92
184,92
185,92
186,92
187,92
188,92
189,92
190,92
191,92
192,92
193,92
194,91
195,90
196,90
197,90
198,90
199,90
200,90
201,90
202,90
203,90
204,90
205,90
206,90
207,90
208,90
209,90
210,90
211,90
212,90
213,90
214,90
215,90
216,90
217,90
218,87
219,87
220,87
221,87
222,87
223,87
224,87
225,87
226,87
227,87
228,87
229,87
230,87
231,87
232,86
233,86
234,86
235,86
236,86
237,86
238,86
239,86
240,86
241,86
242,86
243,86
244,86
245,86
246,86
247,86
248,86
249,86
250,86
251,86
252,86
253,86
254,85
255,84
256,84
257,84
258,84
259,84
260,84
261,84
262,84
263,84
264,84
265,84
266,84
267,84
268,84
269,84
270,84
271,84
272,84
273,84
274,84
275,84
276,84
277,84
278,84
279,84
280,84
281,84
282,84
283,84
284,84
285,84
286,84
287,84
288,83
289,83
290,83
291,83
292,83
293,83
294,83
295,83
296,83
297,83
298,83
299,83
300,83
301,83
302,83
303,82
304,82
305,82
306,82
307,82
308,82
309,82
310,82
311,82
312,82
313,82
314,82
315,82
316,82
317,82
318,82
319,81
320,81
321,81
322,81
323,81
324,81
325,81
326,81
327,81
328,81
329,81
330,81
331,81
332,81
333,81
334,81
335,81
336,81
337,81
338,81
339,81
340,81
341,81
342,81
343,81
344,81
345,81
346,81
347,81
348,80
349,80
350,80
351,80
352,80
353,80
354,80
355,80
356,80
357,80
358,79
359,79
360,79
361,79
362,79
363,79
364,79
365,79
366,79
367,79
368,79
369,79
370,79
371,79
372,79
373,79
374,79
375,79
376,79
377,79
378,79
379,79
380,79
381,79
382,79
383,79
384,79
385,79
386,79
387,79
388,79
389,79
390,78
391,78
392,78
393,78
394,78
395,78
396,78
397,78
398,78
399,78
400,78
401,78
402,78
403,78
404,78
405,78
406,78
407,78
408,78
409,78
410,78
411,78
412,78
413,78
414,78
415,78
416,78
417,78
418,78
419,78
420,78
421,78
422,78
423,78
424,78
425,78
426,78
427,78
428,78
429,78
430,78
431,78
432,78
433,78
434,78
435,78
436,78
437,78
438,78
439,78
440,78
441,78
442,78
443,78
444,78
445,78
446,78
447,78
448,78
449,78
450,78
451,78
452,78
453,78
454,78
455,78
