"study","dyad","actor","receiver","kinship","actor.sex","receiver.sex","actor.adult","receiver.adult","actor.age","receiver.age","possible.groom.sec","possible.donation.sec","donation.sec","groom.sec","donation.rate","donation.lograte","groom.rate","groom.lograte","contact.sec","possible.contact.sec","contact.rate","contact.lograte"
"2010-2014","artimis_bat2","artimis","bat2",0,"m","f",TRUE,TRUE,19.08333333,14.33333333,NA,3600,0,NA,0,0,NA,NA,0,3600,0,0
"2010-2014","artimis_bat3","artimis","bat3",0.1903,"m","f",TRUE,TRUE,19.08333333,12.35416667,NA,3600,0,NA,0,0,NA,NA,0,3600,0,0
"2010-2014","artimis_bat4","artimis","bat4",0.1732,"m","f",TRUE,TRUE,19.08333333,7.5,NA,3600,0,NA,0,0,NA,NA,0,3600,0,0
"2010-2014","artimis_bella","artimis","bella",0,"m","f",TRUE,TRUE,19.08333333,9.916666667,NA,64800,0,NA,0,0,NA,NA,0,64800,0,0
"2010-2014","artimis_cerce","artimis","cerce",0,"m","f",TRUE,TRUE,19.08333333,13.64583333,NA,46800,0,NA,0,0,NA,NA,0,46800,0,0
"2010-2014","artimis_cerceson","artimis","cerceson",0,"m","m",TRUE,TRUE,19.08333333,2.375,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","artimis_countess","artimis","countess",0.008,"m","f",TRUE,TRUE,19.08333333,17.20833333,NA,39600,0,NA,0,0,NA,NA,0,39600,0,0
"2010-2014","artimis_flapper","artimis","flapper",0.2838,"m","m",TRUE,TRUE,19.08333333,3.416666667,NA,14400,0,NA,0,0,NA,NA,0,14400,0,0
"2010-2014","artimis_fuschia","artimis","fuschia",0.2422,"m","m",TRUE,TRUE,19.08333333,8.229166667,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","artimis_gelfling","artimis","gelfling",0,"m","m",TRUE,TRUE,19.08333333,13.70833333,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","artimis_gremlin","artimis","gremlin",0.0434,"m","m",TRUE,FALSE,19.08333333,1.020833333,NA,3600,0,NA,0,0,NA,NA,0,3600,0,0
"2010-2014","artimis_helsing","artimis","helsing",0.3103,"m","m",TRUE,TRUE,19.08333333,16.75,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","artimis_lily","artimis","lily",0,"m","f",TRUE,TRUE,19.08333333,3.041666667,NA,25200,0,NA,0,0,NA,NA,0,25200,0,0
"2010-2014","artimis_lucy","artimis","lucy",0.0525,"m","f",TRUE,TRUE,19.08333333,8.229166667,NA,50400,0,NA,0,0,NA,NA,0,50400,0,0
"2010-2014","artimis_marce","artimis","marce",0,"m","f",TRUE,FALSE,19.08333333,1.479166667,NA,10800,0,NA,0,0,NA,NA,0,10800,0,0
"2010-2014","artimis_maribelo","artimis","maribelo",0.1189,"m","m",TRUE,TRUE,19.08333333,5.333333333,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","artimis_mina","artimis","mina",0.4187,"m","f",TRUE,TRUE,19.08333333,9.270833333,NA,25200,0,NA,0,0,NA,NA,0,25200,0,0
"2010-2014","artimis_mya","artimis","mya",0.0587,"m","f",TRUE,TRUE,19.08333333,18.75,NA,61200,0,NA,0,0,NA,NA,0,61200,0,0
"2010-2014","artimis_parmalee","artimis","parmalee",0.1461,"m","m",TRUE,TRUE,19.08333333,7.166666667,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","artimis_pixus","artimis","pixus",0,"m","m",TRUE,TRUE,19.08333333,2.270833333,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","artimis_snow","artimis","snow",0,"m","f",TRUE,FALSE,19.08333333,1.354166667,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","artimis_speedster","artimis","speedster",0,"m","m",TRUE,TRUE,19.08333333,3.416666667,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","artimis_streblick","artimis","streblick",0.1346,"m","m",TRUE,TRUE,19.08333333,6.333333333,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","artimis_tequila","artimis","tequila",0,"m","m",TRUE,TRUE,19.08333333,15,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","artimis_thecount","artimis","thecount",0,"m","m",TRUE,TRUE,19.08333333,6.416666667,NA,14400,0,NA,0,0,NA,NA,0,14400,0,0
"2010-2014","artimis_vampirella","artimis","vampirella",0.0884,"m","f",TRUE,TRUE,19.08333333,6.416666667,NA,54000,0,NA,0,0,NA,NA,0,54000,0,0
"2010-2014","artimis_veronica","artimis","veronica",0.0472,"m","f",TRUE,TRUE,19.08333333,8.229166667,NA,54000,0,NA,0,0,NA,NA,0,54000,0,0
"2010-2014","artimis_whimsey","artimis","whimsey",0.0012,"m","m",TRUE,TRUE,19.08333333,2.854166667,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","artimis_zaria","artimis","zaria",0,"m","f",TRUE,TRUE,19.08333333,2.354166667,NA,21600,0,NA,0,0,NA,NA,0,21600,0,0
"2010-2014","barnabus_bella","barnabus","bella",0,"m","f",TRUE,TRUE,20,9.916666667,NA,57600,0,NA,0,0,NA,NA,0,57600,0,0
"2010-2014","barnabus_cerce","barnabus","cerce",0.074,"m","f",TRUE,TRUE,20,13.64583333,NA,43200,0,NA,0,0,NA,NA,0,43200,0,0
"2010-2014","barnabus_cerceson","barnabus","cerceson",0,"m","m",TRUE,TRUE,20,2.375,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","barnabus_countess","barnabus","countess",0,"m","f",TRUE,TRUE,20,17.20833333,NA,36000,0,NA,0,0,NA,NA,0,36000,0,0
"2010-2014","barnabus_flapper","barnabus","flapper",0,"m","m",TRUE,TRUE,20,3.416666667,NA,14400,0,NA,0,0,NA,NA,0,14400,0,0
"2010-2014","barnabus_fuschia","barnabus","fuschia",0.008,"m","m",TRUE,TRUE,20,8.229166667,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","barnabus_gelfling","barnabus","gelfling",0,"m","m",TRUE,TRUE,20,13.70833333,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","barnabus_helsing","barnabus","helsing",0.0578,"m","m",TRUE,TRUE,20,16.75,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","barnabus_lily","barnabus","lily",0.2329,"m","f",TRUE,TRUE,20,3.041666667,NA,21600,0,NA,0,0,NA,NA,0,21600,0,0
"2010-2014","barnabus_lucy","barnabus","lucy",0,"m","f",TRUE,TRUE,20,8.229166667,NA,50400,0,NA,0,0,NA,NA,0,50400,0,0
"2010-2014","barnabus_maribelo","barnabus","maribelo",0,"m","m",TRUE,TRUE,20,5.333333333,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","barnabus_mina","barnabus","mina",0,"m","f",TRUE,TRUE,20,9.270833333,NA,21600,0,NA,0,0,NA,NA,0,21600,0,0
"2010-2014","barnabus_mya","barnabus","mya",0.0504,"m","f",TRUE,TRUE,20,18.75,NA,57600,0,NA,0,0,NA,NA,0,57600,0,0
"2010-2014","barnabus_parmalee","barnabus","parmalee",0,"m","m",TRUE,TRUE,20,7.166666667,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","barnabus_pixus","barnabus","pixus",0,"m","m",TRUE,TRUE,20,2.270833333,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","barnabus_speedster","barnabus","speedster",0.0371,"m","m",TRUE,TRUE,20,3.416666667,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","barnabus_streblick","barnabus","streblick",0,"m","m",TRUE,TRUE,20,6.333333333,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","barnabus_tequila","barnabus","tequila",0.0897,"m","m",TRUE,TRUE,20,15,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","barnabus_thecount","barnabus","thecount",0,"m","m",TRUE,TRUE,20,6.416666667,NA,14400,0,NA,0,0,NA,NA,0,14400,0,0
"2010-2014","barnabus_vampirella","barnabus","vampirella",0,"m","f",TRUE,TRUE,20,6.416666667,NA,50400,0,NA,0,0,NA,NA,0,50400,0,0
"2010-2014","barnabus_veronica","barnabus","veronica",0,"m","f",TRUE,TRUE,20,8.229166667,NA,50400,0,NA,0,0,NA,NA,0,50400,0,0
"2010-2014","barnabus_whimsey","barnabus","whimsey",0,"m","m",TRUE,TRUE,20,2.854166667,NA,7200,0,NA,0,0,NA,NA,0,7200,0,0
"2010-2014","barnabus_zaria","barnabus","zaria",0.0104,"m","f",TRUE,TRUE,20,2.354166667,NA,14400,0,NA,0,0,NA,NA,0,14400,0,0
"2010-2014","bat2_bat3","bat2","bat3",0.4777,"f","f",TRUE,TRUE,14.33333333,12.35416667,NA,50400,1240,NA,88.5714285714286,0.65790908712439,NA,NA,1240,50400,88.5714285714286,0.65790908712439
"2010-2014","bat2_bat4","bat2","bat4",0.6729,"f","f",TRUE,TRUE,14.33333333,7.5,NA,43200,1320,NA,110,0.673263673884938,NA,NA,1320,43200,110,0.673263673884938
"2010-2014","bat2_bat5","bat2","bat5",0.2241,"f","m",TRUE,TRUE,14.33333333,NA,NA,28800,1720,NA,215,0.725610243818993,NA,NA,1720,28800,215,0.725610243818993
"2010-2014","bat2_bat6","bat2","bat6",0.2058,"f","f",TRUE,TRUE,14.33333333,NA,NA,28800,6440,NA,805,0.854141749041212,NA,NA,6440,28800,805,0.854141749041212
"2010-2014","bat2_bella","bat2","bella",0.0193,"f","f",TRUE,TRUE,14.33333333,9.916666667,NA,32400,0,NA,0,0,NA,NA,0,32400,0,0
"2010-2014","bat2_cerce","bat2","cerce",0.1668,"f","f",TRUE,TRUE,14.33333333,13.64583333,NA,25200,0,NA,0,0,NA,NA,0,25200,0,0
"2010-2014","bat2_countess","bat2","countess",0,"f","f",TRUE,TRUE,14.33333333,17.20833333,NA,25200,0,NA,0,0,NA,NA,0,25200,0,0
"2010-2014","bat2_gremlin","bat2","gremlin",0.1182,"f","m",TRUE,FALSE,14.33333333,1.020833333,NA,3600,0,NA,0,0,NA,NA,0,3600,0,0
"2010-2014","bat2_lily","bat2","lily",0.0215,"f","f",TRUE,TRUE,14.33333333,3.041666667,NA,28800,0,NA,0,0,NA,NA,0,28800,0,0
"2010-2014","bat2_lucy","bat2","lucy",0.0834,"f","f",TRUE,TRUE,14.33333333,8.229166667,NA,18000,0,NA,0,0,NA,NA,0,18000,0,0
"2010-2014","bat2_marce","bat2","marce",0.0883,"f","f",TRUE,FALSE,14.33333333,1.479166667,NA,32400,0,NA,0,0,NA,NA,0,32400,0,0
"2010-2014","bat2_mina","bat2","mina",0.0054,"f","f",TRUE,TRUE,14.33333333,9.270833333,NA,25200,0,NA,0,0,NA,NA,0,25200,0,0
"2010-2014","bat2_mya","bat2","mya",0,"f","f",TRUE,TRUE,14.33333333,18.75,NA,25200,0,NA,0,0,NA,NA,0,25200,0,0
"2010-2014","bat2_snow","bat2","snow",0.0631,"f","f",TRUE,FALSE,14.33333333,1.354166667,NA,28800,0,NA,0,0,NA,NA,0,28800,0,0
"2010-2014","bat2_vampirella","bat2","vampirella",0,"f","f",TRUE,TRUE,14.33333333,6.416666667,NA,25200,0,NA,0,0,NA,NA,0,25200,0,0
"2010-2014","bat2_veronica","bat2","veronica",0,"f","f",TRUE,TRUE,14.33333333,8.229166667,NA,25200,0,NA,0,0,NA,NA,0,25200,0,0
"2010-2014","bat2_zaria","bat2","zaria",0.0488,"f","f",TRUE,TRUE,14.33333333,2.354166667,NA,32400,0,NA,0,0,NA,NA,0,32400,0,0
"2010-2014","bat3_bat2","bat3","bat2",0.4777,"f","f",TRUE,TRUE,12.35416667,14.33333333,NA,39600,40,NA,3.63636363636364,0.350780943820895,NA,NA,40,39600,3.63636363636364,0.350780943820895
"2010-2014","bat3_bat4","bat3","bat4",0.4625,"f","f",TRUE,TRUE,12.35416667,7.5,NA,32400,300,NA,33.3333333333333,0.549504880227392,NA,NA,300,32400,33.3333333333333,0.549504880227392
"2010-2014","bat3_bat5","bat3","bat5",0.2214,"f","m",TRUE,TRUE,12.35416667,NA,NA,28800,0,NA,0,0,NA,NA,0,28800,0,0
"2010-2014","bat3_bat6","bat3","bat6",0.349,"f","f",TRUE,TRUE,12.35416667,NA,NA,28800,880,NA,110,0.66039845483344,NA,NA,880,28800,110,0.66039845483344
"2010-2014","bat3_bella","bat3","bella",0.1252,"f","f",TRUE,TRUE,12.35416667,9.916666667,NA,21600,64,NA,10.6666666666667,0.418256477223104,NA,NA,64,21600,10.6666666666667,0.418256477223104
"2010-2014","bat3_cerce","bat3","cerce",0.29,"f","f",TRUE,TRUE,12.35416667,13.64583333,NA,25200,282,NA,40.2857142857143,0.557046879239246,NA,NA,282,25200,40.2857142857143,0.557046879239246
"2010-2014","bat3_countess","bat3","countess",0.036,"f","f",TRUE,TRUE,12.35416667,17.20833333,NA,25200,0,NA,0,0,NA,NA,0,25200,0,0
"2010-2014","bat3_gremlin","bat3","gremlin",0.284,"f","m",TRUE,FALSE,12.35416667,1.020833333,NA,3600,0,NA,0,0,NA,NA,0,3600,0,0
"2010-2014","bat3_lily","bat3","lily",0.0433,"f","f",TRUE,TRUE,12.35416667,3.041666667,NA,28800,0,NA,0,0,NA,NA,0,28800,0,0
"2010-2014","bat3_lucy","bat3","lucy",0.2037,"f","f",TRUE,TRUE,12.35416667,8.229166667,NA,28800,0,NA,0,0,NA,NA,0,28800,0,0
"2010-2014","bat3_marce","bat3","marce",0,"f","f",TRUE,FALSE,12.35416667,1.479166667,NA,32400,0,NA,0,0,NA,NA,0,32400,0,0
"2010-2014","bat3_mina","bat3","mina",0,"f","f",TRUE,TRUE,12.35416667,9.270833333,NA,25200,0,NA,0,0,NA,NA,0,25200,0,0
"2010-2014","bat3_mya","bat3","mya",0,"f","f",TRUE,TRUE,12.35416667,18.75,NA,25200,0,NA,0,0,NA,NA,0,25200,0,0
"2010-2014","bat3_snow","bat3","snow",0.0745,"f","f",TRUE,FALSE,12.35416667,1.354166667,NA,28800,0,NA,0,0,NA,NA,0,28800,0,0
