"bat1","bat2","dyad","kinship","site1","site2","colony1","colony2"
"alicia","bat1","alicia_bat1",0,"chorrera","zoo","2019-colony","2014-colony"
"alicia","bat2","alicia_bat2",0,"chorrera","zoo","2019-colony","2014-colony"
"alicia","bat3","alicia_bat3",0,"chorrera","zoo","2019-colony","2014-colony"
"alicia","bat4","alicia_bat4",0,"chorrera","zoo","2019-colony","2014-colony"
"alicia","bat5","alicia_bat5",0,"chorrera","zoo","2019-colony","2014-colony"
"alicia","bat6","alicia_bat6",0,"chorrera","zoo","2019-colony","2014-colony"
"alicia","bat7","alicia_bat7",0,"chorrera","zoo","2019-colony","2014-colony"
"alicia","bella","alicia_bella",0,"chorrera","zoo","2019-colony","2014-colony"
"alicia","betty","alicia_betty",0,"chorrera","tole","2019-colony","2019-colony"
"alicia","black-panther","alicia_black-panther",0,"chorrera","tole","2019-colony","2017-colony"
"alicia","c","alicia_c",0,"chorrera","tole","2019-colony","2017-colony"
"alicia","captain-america","alicia_captain-america",0,"chorrera","tole","2019-colony","2017-colony"
"alicia","cat","alicia_cat",0,"chorrera","las.pavas","2019-colony","2017-colony"
"alicia","cc","alicia_cc",0,"chorrera","tole","2019-colony","2017-colony"
"alicia","ccc","alicia_ccc",0,"chorrera","tole","2019-colony","2017-colony"
"alicia","ccs","alicia_ccs",0,"chorrera","tole","2019-colony","2017-colony"
"alicia","cd","alicia_cd",0,"chorrera","tole","2019-colony","2017-colony"
"alicia","cerce","alicia_cerce",0,"chorrera","zoo","2019-colony","2014-colony"
"alicia","cerceson","alicia_cerceson",0,"chorrera","zoo","2019-colony","2014-colony"
"alicia","cindy","alicia_cindy",0,"chorrera","tole","2019-colony","2019-colony"
"alicia","countess","alicia_countess",0,"chorrera","zoo","2019-colony","2014-colony"
"alicia","cs","alicia_cs",0,"chorrera","tole","2019-colony","2017-colony"
"alicia","csc","alicia_csc",0,"chorrera","tole","2019-colony","2017-colony"
"alicia","d","alicia_d",0,"chorrera","tole","2019-colony","2019-colony"
"alicia","daredevil","alicia_daredevil",0,"chorrera","tole","2019-colony","2017-colony"
"alicia","dcd","alicia_dcd",0,"chorrera","tole","2019-colony","2017-colony"
"alicia","dd","alicia_dd",0,"chorrera","tole","2019-colony","2017-colony"
"alicia","ddd","alicia_ddd",0,"chorrera","las.pavas","2019-colony","2017-colony"
"alicia","ddld","alicia_ddld",0,"chorrera","tole","2019-colony","2017-colony"
"alicia","desi","alicia_desi",0,"chorrera","zoo","2019-colony","2014-colony"
"alicia","dos","alicia_dos",0,"chorrera","las.pavas","2019-colony","2017-colony"
"alicia","dr","alicia_dr",0,"chorrera","tole","2019-colony","2017-colony"
