,bat,date,birthdate,capture.site,sex
8,alicia,8/17/19,NA,chorrera,female
9,alicia,8/18/19,NA,chorrera,female
10,alicia,8/24/19,NA,chorrera,female
11,alicia,8/25/19,NA,chorrera,female
12,alicia,8/31/19,NA,chorrera,female
13,alicia,9/1/19,NA,chorrera,female
14,alicia,9/8/19,NA,chorrera,female
15,alicia,9/9/19,NA,chorrera,female
16,alicia,9/15/19,NA,chorrera,female
17,alicia,9/16/19,NA,chorrera,female
18,alicia,9/22/19,NA,chorrera,female
19,alicia,9/23/19,NA,chorrera,female
20,alicia,9/29/19,NA,chorrera,female
21,alicia,9/30/19,NA,chorrera,female
22,alicia,10/6/19,NA,chorrera,female
23,alicia,10/7/19,NA,chorrera,female
24,alicia,10/13/19,NA,chorrera,female
25,alicia,10/14/19,NA,chorrera,female
26,alicia,10/16/19,NA,chorrera,female
27,bat1,4/3/13,NA,zoo,female
28,bat1,4/4/13,NA,zoo,female
29,bat1,4/12/13,NA,zoo,female
30,bat1,4/13/13,NA,zoo,female
31,bat2,4/15/13,6/7/00,zoo,female
32,bat2,4/16/13,6/7/00,zoo,female
33,bat2,5/4/13,6/7/00,zoo,female
34,bat2,5/5/13,6/7/00,zoo,female
35,bat2,4/3/14,6/7/00,zoo,female
36,bat2,4/4/14,6/7/00,zoo,female
37,bat2,4/20/14,6/7/00,zoo,female
38,bat2,4/21/14,6/7/00,zoo,female
39,bat3,4/7/13,5/27/02,zoo,female
40,bat3,4/8/13,5/27/02,zoo,female
41,bat3,4/14/13,5/27/02,zoo,female
42,bat3,4/15/13,5/27/02,zoo,female
43,bat3,4/2/14,5/27/02,zoo,female
44,bat3,4/3/14,5/27/02,zoo,female
45,bat3,4/17/14,5/27/02,zoo,female
46,bat3,4/18/14,5/27/02,zoo,female
47,bat3,1/5/15,5/27/02,zoo,female
48,bat3,1/6/15,5/27/02,zoo,female
49,bat4,4/8/13,4/1/07,zoo,female
50,bat4,4/9/13,4/1/07,zoo,female
51,bat4,4/13/13,4/1/07,zoo,female
52,bat4,4/14/13,4/1/07,zoo,female
53,bat4,4/1/14,4/1/07,zoo,female
54,bat4,4/2/14,4/1/07,zoo,female
55,bat4,4/16/14,4/1/07,zoo,female
56,bat4,4/17/14,4/1/07,zoo,female
57,bat4,4/23/14,4/1/07,zoo,female
58,bat5,4/9/13,NA,zoo,male
59,bat5,4/10/13,NA,zoo,male
60,bat5,4/22/13,NA,zoo,male
61,bat5,4/23/13,NA,zoo,male
62,bat6,4/10/13,NA,zoo,female
63,bat6,4/11/13,NA,zoo,female
64,bat6,4/21/13,NA,zoo,female
65,bat6,4/22/13,NA,zoo,female
66,bat6,5/5/13,NA,zoo,female
67,bat6,5/6/13,NA,zoo,female
68,bat7,4/11/13,NA,zoo,female
69,bat7,4/12/13,NA,zoo,female
70,bat7,4/19/13,NA,zoo,female
71,bat7,4/20/13,NA,zoo,female
76,bella,8/16/11,11/1/04,zoo,female
77,bella,8/17/11,11/1/04,zoo,female
78,bella,8/23/11,11/1/04,zoo,female
79,bella,8/24/11,11/1/04,zoo,female
80,bella,9/23/11,11/1/04,zoo,female
81,bella,9/27/11,11/1/04,zoo,female
82,bella,10/18/11,11/1/04,zoo,female
83,bella,10/21/11,11/1/04,zoo,female
84,bella,2/8/13,11/1/04,zoo,female
85,bella,2/9/13,11/1/04,zoo,female
86,bella,2/15/13,11/1/04,zoo,female
87,bella,2/16/13,11/1/04,zoo,female
88,bella,2/22/13,11/1/04,zoo,female
89,bella,2/23/13,11/1/04,zoo,female
90,bella,3/23/14,11/1/04,zoo,female
91,bella,3/24/14,11/1/04,zoo,female
92,bella,4/4/14,11/1/04,zoo,female
93,bella,4/5/14,11/1/04,zoo,female
110,betty,7/7/19,NA,tole,female
111,betty,7/8/19,NA,tole,female
94,betty,8/19/19,NA,tole,female
95,betty,8/20/19,NA,tole,female
96,betty,8/26/19,NA,tole,female
97,betty,8/27/19,NA,tole,female
98,betty,9/3/19,NA,tole,female
99,betty,9/4/19,NA,tole,female
100,betty,9/10/19,NA,tole,female
101,betty,9/11/19,NA,tole,female
102,betty,9/17/19,NA,tole,female
103,betty,9/18/19,NA,tole,female
104,betty,9/24/19,NA,tole,female
105,betty,9/25/19,NA,tole,female
106,betty,10/1/19,NA,tole,female
107,betty,10/2/19,NA,tole,female
108,betty,10/8/19,NA,tole,female
109,betty,10/9/19,NA,tole,female
597,black-panther,3/6/16,NA,tole,male
598,black-panther,3/7/16,NA,tole,male
153,c,3/19/16,NA,tole,female
154,c,3/20/16,NA,tole,female
155,c,4/15/16,NA,tole,female
156,c,5/17/16,NA,tole,female
157,c,5/18/16,NA,tole,female
190,captain-america,3/9/16,NA,tole,male
191,captain-america,3/10/16,NA,tole,male
114,cat,9/16/16,NA,las.pavas,female
115,cat,11/17/16,NA,las.pavas,female
116,cat,11/18/16,NA,las.pavas,female
117,cat,8/19/17,NA,las.pavas,female
118,cat,8/20/17,NA,las.pavas,female
119,cat,9/3/17,NA,las.pavas,female
120,cat,8/29/18,NA,las.pavas,female
129,cc,3/31/16,NA,tole,female
130,cc,4/1/16,NA,tole,female
131,cc,4/19/16,NA,tole,female
132,cc,4/20/16,NA,tole,female
123,ccc,3/24/16,NA,tole,female
124,ccc,3/25/16,NA,tole,female
125,ccc,4/16/16,NA,tole,female
126,ccc,4/17/16,NA,tole,female
127,ccc,5/25/16,NA,tole,female
128,ccc,5/26/16,NA,tole,female
121,ccc,11/15/16,NA,tole,female
122,ccc,11/16/16,NA,tole,female
657,ccs,3/10/16,NA,tole,female
658,ccs,3/11/16,NA,tole,female
136,ccs,3/26/16,NA,tole,female
137,ccs,3/27/16,NA,tole,female
138,ccs,4/17/16,NA,tole,female
139,ccs,4/18/16,NA,tole,female
140,ccs,5/13/16,NA,tole,female
141,ccs,5/14/16,NA,tole,female
135,ccs,7/10/17,NA,tole,female
142,cd,3/13/16,NA,tole,female
143,cd,3/14/16,NA,tole,female
144,cd,4/4/16,NA,tole,female
145,cd,4/22/16,NA,tole,female
146,cerce,2/4/13,2/14/01,zoo,female
147,cerce,2/5/13,2/14/01,zoo,female
148,cerce,2/25/13,2/14/01,zoo,female
149,cerce,3/22/14,2/14/01,zoo,female
150,cerce,3/23/14,2/14/01,zoo,female
151,cerce,4/24/14,2/14/01,zoo,female
152,cerce,4/25/14,2/14/01,zoo,female
1,cerceson,2/17/13,5/24/12,zoo,male
2,cerceson,2/18/13,5/24/12,zoo,male
3,cerceson,4/10/14,5/24/12,zoo,male
174,cindy,7/9/19,NA,tole,female
175,cindy,7/30/19,NA,tole,female
158,cindy,8/20/19,NA,tole,female
159,cindy,8/21/19,NA,tole,female
160,cindy,8/27/19,NA,tole,female
161,cindy,8/28/19,NA,tole,female
162,cindy,9/4/19,NA,tole,female
163,cindy,9/5/19,NA,tole,female
164,cindy,9/11/19,NA,tole,female
165,cindy,9/12/19,NA,tole,female
166,cindy,9/18/19,NA,tole,female
167,cindy,9/19/19,NA,tole,female
168,cindy,9/25/19,NA,tole,female
169,cindy,9/26/19,NA,tole,female
170,cindy,10/2/19,NA,tole,female
171,cindy,10/3/19,NA,tole,female
172,cindy,10/9/19,NA,tole,female
173,cindy,10/10/19,NA,tole,female
178,countess,3/19/14,7/24/97,zoo,female
179,countess,3/20/14,7/24/97,zoo,female
496,cs,3/30/16,NA,tole,female
497,cs,4/12/16,NA,tole,female
498,cs,5/19/16,NA,tole,female
499,cs,5/20/16,NA,tole,female
182,cs,8/7/17,NA,tole,female
183,cs,8/14/17,NA,tole,female
184,cs,8/15/17,NA,tole,female
189,csc,3/7/16,NA,tole,female
757,csc,4/2/16,NA,tole,female
758,csc,5/17/16,NA,tole,female
759,csc,6/10/16,NA,tole,female
760,csc,6/11/16,NA,tole,female
208,d,3/17/16,NA,tole,female
