"dyad","dyad.sex","bat1","bat2","both_zoo","both_wild","both_adult","both_young","study_site","treatment_rank","treatment_label","kinship","kinship2","donation.rate","donation.lograte","groom.rate","groom.lograte","affiliation.rate","affiliation.lograte","dist","sim"
"alicia_bat1","female","alicia","bat1",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,6.12727861154737,0.404207050381164
"alicia_bat2","female","alicia","bat2",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.38453244488355,0.768137258175011
"alicia_bat3","female","alicia","bat3",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,3.10804830998321,0.697785364831795
"alicia_bat4","female","alicia","bat4",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.15902393936698,0.790064835845895
"alicia_bat5","mixed_sex","alicia","bat5",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.73948336647081,0.8308593436947
"alicia_bat6","female","alicia","bat6",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.94496096205805,0.810879494479946
"alicia_bat7","female","alicia","bat7",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.05588342045159,0.800093822266393
"alicia_bella","female","alicia","bella",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.67291089177628,0.837332594476366
"alicia_betty","female","alicia","betty",FALSE,TRUE,TRUE,FALSE,"2019_different sites",3,"3. different wild roost
then caged together",0,"0",NA,NA,0.0326975476839237,0.181988085786438,0.0326975476839237,0.181988085786438,2.08330479897027,0.797427473137194
"alicia_black-panther","mixed_sex","alicia","black-panther",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.21983128163194,0.7841521643153
"alicia_c","female","alicia","c",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.10994022352532,0.794837547141321
"alicia_captain-america","mixed_sex","alicia","captain-america",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.5565485451587,0.751411075759915
"alicia_cat","female","alicia","cat",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.78737013554627,0.826203018888217
"alicia_cc","female","alicia","cc",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.41308284475377,0.765361127362317
"alicia_ccc","female","alicia","ccc",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.55212148230874,0.751841546283738
"alicia_ccs","female","alicia","ccs",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.05316481875959,0.800358168613867
"alicia_cd","female","alicia","cd",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.40196218349944,0.766442457589075
"alicia_cerce","female","alicia","cerce",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.00348578018152,0.805188766797027
"alicia_cerceson","mixed_sex","alicia","cerceson",FALSE,FALSE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,3.04874295340379,0.703551989064951
"alicia_cindy","female","alicia","cindy",FALSE,TRUE,TRUE,FALSE,"2019_different sites",3,"3. different wild roost
then caged together",0,"0",NA,NA,0.423076923076923,0.358043311018427,0.423076923076923,0.358043311018427,1.88474178611975,0.816734974984501
"alicia_cs","female","alicia","cs",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.67218902349485,0.837402786165025
"alicia_csc","female","alicia","csc",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.07074518881232,0.798648721207743
"alicia_d","female","alicia","d",FALSE,TRUE,TRUE,FALSE,"2019_different sites",3,"3. different wild roost
then caged together",0,"0",NA,NA,NA,NA,NA,NA,1.71671666388288,0.833073090081619
"alicia_daredevil","mixed_sex","alicia","daredevil",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.79578845417508,0.728148309351547
"alicia_dcd","female","alicia","dcd",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.95731702647508,0.809678038412512
"alicia_dd","female","alicia","dd",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.63456254492439,0.743825295190974
"alicia_ddld","female","alicia","ddld",FALSE,TRUE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.96626142404022,0.808808319676717
"alicia_dr","female","alicia","dr",FALSE,TRUE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,3.03142628241535,0.705235795390705
"alicia_ds","female","alicia","ds",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.70516389655845,0.736960291948284
"alicia_esther","female","alicia","esther",FALSE,TRUE,TRUE,FALSE,"2019_different sites",3,"3. different wild roost
then caged together",0,"0",NA,NA,0.0301369863013699,0.176377286228366,0.0301369863013699,0.176377286228366,1.84150535704765,0.820939118657568
"alicia_eve","female","alicia","eve",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.52523147301113,0.754456227118474
"alicia_falcon","mixed_sex","alicia","falcon",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.95171726101892,0.810222538016628
"alicia_flapper","mixed_sex","alicia","flapper",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.70896659371165,0.833826677026135
"alicia_fran","female","alicia","fran",FALSE,TRUE,TRUE,FALSE,"2019_different sites",3,"3. different wild roost
then caged together",0,"0",NA,NA,0.37945205479452,0.199722701864654,0.37945205479452,0.199722701864654,2.05242090215585,0.800430504196384
"alicia_gayle","female","alicia","gayle",FALSE,TRUE,TRUE,FALSE,"2019_different sites",3,"3. different wild roost
then caged together",0,"0",NA,NA,31.6134663341645,0.666134143461753,31.6134663341645,0.666134143461753,2.61204919120479,0.746014406910675
"alicia_gremlin","mixed_sex","alicia","gremlin",FALSE,FALSE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.82633324389248,0.822414396447553
"alicia_hera","female","alicia","hera",FALSE,TRUE,TRUE,FALSE,"2019_different sites",3,"3. different wild roost
then caged together",0,"0",NA,NA,1.16712328767123,0.429906952011975,1.16712328767123,0.429906952011975,2.22961533995678,0.783200800204386
"alicia_hilga","female","alicia","hilga",FALSE,TRUE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.0320705729665,0.802409291749898
"alicia_houdini","mixed_sex","alicia","houdini",FALSE,FALSE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,3.0907153278321,0.699470757192122
"alicia_hulk","mixed_sex","alicia","hulk",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.72934965524986,0.831844706705212
"alicia_irma","female","alicia","irma",FALSE,TRUE,TRUE,FALSE,"2019_different sites",3,"3. different wild roost
then caged together",0,"0",NA,NA,0.126190476190476,0.280342946926951,0.126190476190476,0.280342946926951,2.21366953476142,0.784751308825535
"alicia_ivy","female","alicia","ivy",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,3.49384934920949,0.660271559160636
"alicia_jenna-bat","mixed_sex","alicia","jenna-bat",FALSE,TRUE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.88163854135941,0.817036722541021
"alicia_jupiter","female","alicia","jupiter",FALSE,TRUE,TRUE,FALSE,"2019_different sites",3,"3. different wild roost
then caged together",0,"0",NA,NA,0.893421052631577,0.41205031679096,0.893421052631577,0.41205031679096,2.26005173081154,0.780241282899438
"alicia_kelly","female","alicia","kelly",FALSE,TRUE,TRUE,FALSE,"2019_different sites",3,"3. different wild roost
then caged together",0,"0",NA,NA,0.59882005899705,0.379412656177676,0.59882005899705,0.379412656177676,1.77639186129203,0.827270503952032
"alicia_ldc","mixed_sex","alicia","ldc",FALSE,TRUE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,8.89482991982011,0.13510103093726
"alicia_lds","female","alicia","lds",FALSE,TRUE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.77490653335265,0.827414931514455
"alicia_lily","female","alicia","lily",FALSE,FALSE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.07064800122229,0.79865817135431
"alicia_lilyson","mixed_sex","alicia","lilyson",FALSE,FALSE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.94190453731799,0.713940544749754
"alicia_lsd","female","alicia","lsd",FALSE,TRUE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,1.85992607994177,0.819147958580969
"alicia_lucy","female","alicia","lucy",FALSE,FALSE,TRUE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.32673970161582,0.773756801721334
"alicia_lucyson","mixed_sex","alicia","lucyson",FALSE,FALSE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,3.20406785939634,0.68844879403214
"alicia_mabel","female","alicia","mabel",FALSE,TRUE,TRUE,FALSE,"2019_different sites",3,"3. different wild roost
then caged together",0,"0",NA,NA,0.0425824175824176,0.123021955617004,0.0425824175824176,0.123021955617004,2.28854095694515,0.777471100385048
"alicia_marce","female","alicia","marce",FALSE,FALSE,FALSE,FALSE,"different years_different sites",1,"1. never met",0,"0",NA,NA,NA,NA,NA,NA,2.51378778273363,0.755568967442067
